dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.73,3.037983,1.2231138,2.5479684,73,27,4.832087755203247
Adiac,0.8491048593350383,0.123723365,0.070549466,0.11569969,332,59,10.672091484069824
AllGestureWiimoteX,0.9428571428571428,0.27724165,0.13844329,0.26931036,660,40,16.482208967208862
AllGestureWiimoteY,0.9114285714285716,0.1582324,0.072637126,0.15065111,638,62,17.480464458465576
AllGestureWiimoteZ,0.95,0.26444474,0.1019066,0.25631782,665,35,16.113916635513306
ArrowHead,0.9771428571428572,0.3331087,0.15196013,0.32896817,171,4,5.262583494186401
BME,0.8666666666666667,0.39455578,0.24837598,0.37506515,130,20,5.1433515548706055
Beef,0.9666666666666668,0.4137911,0.021877043,0.4007273,29,1,2.51682710647583
BeetleFly,0.95,1.1559014,0.824661,1.1393394,19,1,2.5967867374420166
BirdChicken,1.0,0.96543854,,0.96543854,20,0,2.615040063858032
