dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.9,14.456232,14.453456,14.4559555,90,10,0.1260583400726318
Adiac,0.9820971867007672,1.7426052,1.7422037,1.742598,384,7,0.3205406665802002
AllGestureWiimoteX,0.8642857142857143,4.950166,4.9552665,4.9508586,605,95,0.5370802879333496
AllGestureWiimoteY,0.8871428571428571,4.951217,4.9467163,4.9507093,621,79,0.537451982498169
AllGestureWiimoteZ,0.8785714285714286,4.948628,4.9411454,4.9477196,615,85,0.5347554683685303
ArrowHead,0.8742857142857143,2.4850209,2.4843109,2.4849317,153,22,0.1495721340179443
BME,0.7266666666666667,1.2675743,1.2669001,1.2673899,109,41,0.137251615524292
Beef,0.6333333333333333,4.6527424,4.6537595,4.6531157,19,11,0.0516924858093261
BeetleFly,0.95,5.0693703,5.0674644,5.069275,19,1,0.048607587814331
BirdChicken,0.3,5.067928,5.0682883,5.0681806,6,14,0.0502283573150634
