dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.74,1.3104377,0.49907872,1.0994844,74,26,4.831884860992432
Adiac,0.9130434782608696,0.09183517,0.03196856,0.086629376,357,34,10.37532877922058
AllGestureWiimoteX,0.9471428571428572,0.12632102,0.04452488,0.12199752,663,37,16.058727741241455
AllGestureWiimoteY,0.9885714285714284,0.108512595,0.06320424,0.1079948,692,8,16.167415618896484
AllGestureWiimoteZ,0.9214285714285714,0.17113018,0.07211292,0.16335027,645,55,16.185404062271118
ArrowHead,0.8685714285714285,0.24313717,0.025852527,0.21457978,152,23,5.278209209442139
BME,0.9466666666666668,0.09729169,0.09418745,0.09712615,142,8,5.251826286315918
Beef,0.9666666666666668,0.16260387,0.006673365,0.1574062,29,1,2.632411003112793
BeetleFly,1.0,0.12814689,,0.12814689,20,0,2.6481406688690186
BirdChicken,1.0,0.22958378,,0.22958378,20,0,2.672055244445801
