dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.95,14.45502,14.455009,14.455021,95,5,0.1260871887207031
Adiac,0.9872122762148338,1.742652,1.7420899,1.7426449,386,5,0.3263087272644043
AllGestureWiimoteX,0.8371428571428572,4.951986,4.954948,4.9524684,586,114,0.5410223007202148
AllGestureWiimoteY,0.8771428571428571,4.948183,4.9571733,4.949288,614,86,0.5341253280639648
AllGestureWiimoteZ,0.9357142857142856,4.9551764,4.9349313,4.953875,655,45,0.5357778072357178
ArrowHead,0.9028571428571428,2.485076,2.4845865,2.4850285,158,17,0.1524515151977539
BME,0.9066666666666666,1.2673124,1.266738,1.2672588,136,14,0.1457216739654541
Beef,0.8333333333333334,4.65493,4.6539116,4.6547604,25,5,0.0550270080566406
BeetleFly,0.55,5.069508,5.067508,5.0686083,11,9,0.0551929473876953
BirdChicken,0.5,5.0695734,5.0683,5.068937,10,10,0.051687479019165
