dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.94,0.71826035,3.704585,0.8974398,94,6,5.452259540557861
Adiac,0.979539641943734,0.025831606,0.39750782,0.03343623,383,8,12.68236780166626
AllGestureWiimoteX,0.9985714285714286,0.053744145,0.19945945,0.05395231,699,1,21.41572093963623
AllGestureWiimoteY,1.0,0.03518452,,0.03518452,700,0,20.815701007843018
AllGestureWiimoteZ,0.9928571428571428,0.07261363,0.58274806,0.076257445,695,5,20.67789936065674
ArrowHead,1.0,0.12527452,,0.12527452,175,0,6.193990468978882
BME,0.9866666666666668,0.041050315,0.23451924,0.043629903,148,2,6.149269104003906
Beef,1.0,0.038090363,,0.038090363,30,0,2.944987297058105
BeetleFly,1.0,0.08043548,,0.08043548,20,0,2.852684259414673
BirdChicken,1.0,0.15225932,,0.15225932,20,0,2.8459348678588867
