dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.74,2.0028784,1.4958236,1.8710442,74,26,4.820637941360474
Adiac,0.8363171355498721,0.10929658,0.08567181,0.10542962,327,64,10.48884916305542
AllGestureWiimoteX,0.9328571428571428,0.15378301,0.07420628,0.14843999,653,47,16.184547662734985
AllGestureWiimoteY,0.9571428571428572,0.13863109,0.048912518,0.13478601,670,30,16.154030323028564
AllGestureWiimoteZ,0.9228571428571428,0.30083752,0.08847355,0.28445518,646,54,16.32356286048889
ArrowHead,0.9714285714285714,0.38460007,0.44097677,0.38621086,170,5,5.402603387832642
BME,0.94,0.2899093,0.60328746,0.308712,141,9,5.321871042251587
Beef,0.9,0.2922406,0.22614479,0.285631,27,3,2.6468505859375
BeetleFly,1.0,0.63458335,,0.63458335,20,0,2.6430869102478027
BirdChicken,0.95,0.31972307,0.00071135326,0.30377248,19,1,2.648902654647827
