dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.87,14.455772,14.454744,14.45564,87,13,0.1396028995513916
Adiac,0.9820971867007672,1.7428011,1.7421753,1.7427899,384,7,0.3987576961517334
AllGestureWiimoteX,0.9128571428571428,4.9494824,4.967286,4.9510336,639,61,0.5536983013153076
AllGestureWiimoteY,0.8742857142857143,4.9507813,4.9663014,4.952732,612,88,0.529423713684082
AllGestureWiimoteZ,0.91,4.951115,4.9422436,4.950317,637,63,0.5303921699523926
ArrowHead,0.8342857142857143,2.4851344,2.4854407,2.4851851,146,29,0.1575145721435547
BME,0.78,1.2672946,1.267053,1.2672415,117,33,0.1355009078979492
Beef,0.8333333333333334,4.6537447,4.6536326,4.6537256,25,5,0.0522592067718505
BeetleFly,0.95,5.068826,5.0702505,5.0688972,19,1,0.0553419589996337
BirdChicken,0.4,5.0704985,5.068791,5.069474,8,12,0.0565910339355468
