dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.84,0.944575,5.2289157,1.6300697,84,16,5.2993080615997314
Adiac,0.9335038363171356,0.032602184,0.20075919,0.04378398,365,26,12.921252250671388
AllGestureWiimoteX,1.0,0.057239566,,0.057239566,700,0,21.553013563156128
AllGestureWiimoteY,1.0,0.050025754,,0.050025754,700,0,20.691347122192383
AllGestureWiimoteZ,0.99,0.09988968,0.75142246,0.106405005,693,7,21.59857058525085
ArrowHead,0.9885714285714284,0.14391828,0.71782404,0.1504772,173,2,6.304057359695435
BME,0.98,0.15985724,0.6963871,0.17058784,147,3,6.235391139984131
Beef,1.0,0.08337152,,0.08337152,30,0,2.833504438400269
BeetleFly,1.0,0.28935057,,0.28935057,20,0,2.762604236602783
BirdChicken,1.0,0.18747911,,0.18747911,20,0,2.7464661598205566
