dataset,loss,accuracy,precision,recall,f1,duration
ACSF1,1.4613834619522097,1.0,1.0,1.0,1.0,47.76686096191406
Adiac,3.001894533634186,0.7051282051282052,0.5044457750340103,0.6320376320376321,0.5519161645411613,92.77310371398926
AllGestureWiimoteX,1.4612542390823364,1.0,1.0,1.0,1.0,153.1993808746338
AllGestureWiimoteY,1.4612365166346233,1.0,1.0,1.0,1.0,146.94620203971863
AllGestureWiimoteZ,1.4612232844034831,1.0,1.0,1.0,1.0,150.16522693634033
ArrowHead,0.551483154296875,1.0,1.0,1.0,1.0,23.62882375717163
BME,0.5514737963676453,1.0,1.0,1.0,1.0,19.985698223114014
Beef,0.9049951434135436,1.0,1.0,1.0,1.0,19.698827266693115
BeetleFly,0.3132638037204742,1.0,1.0,1.0,1.0,19.228029012680054
BirdChicken,0.3132767975330353,1.0,1.0,1.0,1.0,23.993629217147827
CBF,0.5514618158340454,1.0,1.0,1.0,1.0,17.61920714378357
Car,0.7436800599098206,1.0,1.0,1.0,1.0,41.75574612617493
Chinatown,0.3132790923118591,1.0,1.0,1.0,1.0,14.001461029052734
ChlorineConcentration,0.5661857277154922,0.9850107066381156,0.9886613444405876,0.9750980014137908,0.9815753121135122,100.85284519195557
CinCECGTorso,0.7436763048171997,1.0,1.0,1.0,1.0,67.01979327201843
Coffee,0.3132701814174652,1.0,1.0,1.0,1.0,21.73247766494751
Computers,0.3132921159267425,1.0,1.0,1.0,1.0,166.3098475933075
CricketX,1.621965765953064,1.0,1.0,1.0,1.0,138.11849975585938
CricketY,1.619313895702362,1.0,1.0,1.0,1.0,137.99160051345825
CricketZ,1.6321181654930117,1.0,1.0,1.0,1.0,138.0557336807251
Crop,2.273338665042007,0.97375,0.9739913974542496,0.97375,0.9736654129993102,930.8366270065308
DiatomSizeReduction,0.7437450885772705,1.0,1.0,1.0,1.0,19.087445974349976
DistalPhalanxOutlineAgeGroup,0.5905596166849136,0.975,0.9802659802659802,0.9771128175108754,0.978659099298634,77.0928316116333
DistalPhalanxOutlineCorrect,0.3242017269134521,0.9883333333333332,0.9888721101643116,0.986093236093236,0.9874521613652048,99.85020446777344
DistalPhalanxTW,1.095952332019806,0.95,0.7832056807191216,0.8214285714285715,0.8012839465277574,76.29740452766418
DodgerLoopDay,1.165468454360962,1.0,1.0,1.0,1.0,32.51222491264343
DodgerLoopGame,0.3132829368114471,1.0,1.0,1.0,1.0,13.148940563201904
DodgerLoopWeekend,0.3132750391960144,1.0,1.0,1.0,1.0,19.9451596736908
ECG200,0.3132985532283783,1.0,1.0,1.0,1.0,20.863609313964844
ECG5000,0.9171612113714218,0.988,0.9811418047882136,0.9462384775498068,0.9613539270456786,93.12826466560364
ECGFiveDays,0.3132862150669098,1.0,1.0,1.0,1.0,18.001816034317017
EOGHorizontalSignal,1.6190917491912842,1.0,1.0,1.0,1.0,412.5268051624298
EOGVerticalSignal,1.6191786130269368,1.0,1.0,1.0,1.0,412.33045053482056
Earthquakes,0.3132793605327606,1.0,1.0,1.0,1.0,164.61685872077942
ElectricDevices,1.1882111055510385,0.9773694824109344,0.9737999005932716,0.9748640613377128,0.9741770758210648,1339.973738193512
EthanolLevel,0.7438973486423492,1.0,1.0,1.0,1.0,791.3613929748535
FaceAll,1.7548292398452758,1.0,1.0,1.0,1.0,109.07491731643675
